Year,GDP,Country
1960,59,China
1961,50,China
1962,47,China
1963,50,China
1964,59,China
1965,70,China
1966,76,China
1967,72,China
1968,70,China
1969,79,China
1970,92,China
1971,99,China
1972,113,China
1973,138,China
1974,144,China
1975,163,China
1976,153,China
1977,174,China
1978,149,China
1979,178,China
1980,191,China
1981,195,China
1982,205,China
1983,230,China
1984,259,China
1985,309,China
1986,300,China
1987,272,China
1988,312,China
1989,347,China
1990,360,China
1991,383,China
1992,426,China
1993,444,China
1994,564,China
1995,734,China
1996,863,China
1997,961,China
1998,1029,China
1999,1093,China
2000,1211,China
2001,1339,China
2002,1470,China
2003,1660,China
2004,1955,China
2005,2285,China
2006,2752,China
2007,3550,China
2008,4594,China
2009,5101,China
2010,6087,China
2011,7551,China
2012,8532,China
2013,9570,China
2014,10475,China
2015,11061,China
2016,11233,China
2017,12310,China
2018,13894,China
2019,14279,China
2020,14687,China
2021,17734,China
1960,543,United States
1961,563,United States
1962,605,United States
1963,638,United States
1964,685,United States
1965,743,United States
1966,815,United States
1967,861,United States
1968,942,United States
1969,1019,United States
1970,1073,United States
1971,1164,United States
1972,1279,United States
1973,1425,United States
1974,1545,United States
1975,1684,United States
1976,1873,United States
1977,2081,United States
1978,2351,United States
1979,2627,United States
1980,2857,United States
1981,3207,United States
1982,3343,United States
1983,3634,United States
1984,4037,United States
1985,4338,United States
1986,4579,United States
1987,4855,United States
1988,5236,United States
1989,5641,United States
1990,5963,United States
1991,6158,United States
1992,6520,United States
1993,6858,United States
1994,7287,United States
1995,7639,United States
1996,8073,United States
1997,8577,United States
1998,9062,United States
1999,9631,United States
2000,10250,United States
2001,10581,United States
2002,10929,United States
2003,11456,United States
2004,12217,United States
2005,13039,United States
2006,13815,United States
2007,14474,United States
2008,14769,United States
2009,14478,United States
2010,15048,United States
2011,15599,United States
2012,16253,United States
2013,16843,United States
2014,17550,United States
2015,18206,United States
2016,18695,United States
2017,19479,United States
2018,20527,United States
2019,21372,United States
2020,20893,United States
2021,22996,United States
