Year,GDP,Country
1960,1392,World
1961,1448,World
1962,1550,World
1963,1671,World
1964,1829,World
1965,1993,World
1966,2163,World
1967,2302,World
1968,2484,World
1969,2740,World
1970,2996,World
1971,3310,World
1972,3816,World
1973,4656,World
1974,5366,World
1975,5977,World
1976,6498,World
1977,7349,World
1978,8655,World
1979,10052,World
1980,11334,World
1981,11725,World
1982,11608,World
1983,11838,World
1984,12269,World
1985,12860,World
1986,15205,World
1987,17307,World
1988,19337,World
1989,20194,World
1990,22779,World
1991,23759,World
1992,25406,World
1993,25821,World
1994,27872,World
1995,31043,World
1996,31736,World
1997,31620,World
1998,31539,World
1999,32737,World
2000,33830,World
2001,33615,World
2002,34911,World
2003,39146,World
2004,44117,World
2005,47779,World
2006,51779,World
2007,58355,World
2008,64123,World
2009,60809,World
2010,66596,World
2011,73853,World
2012,75488,World
2013,77607,World
2014,79708,World
2015,75179,World
2016,76465,World
2017,81403,World
2018,86413,World
2019,87652,World
2020,84906,World
2021,96100,World
